704,655
407,309
0,0
0,0
0,0
0,0
1100,780
1279,1023
1279,1023
1279,1023
1279,1023
1279,1023
1279,1023
520,675
52,525
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
61,504
86,466
148,514
158,516
160,516
181,516
181,516
181,516
181,516
181,516
181,516
181,516
181,516
182,516
339,166
340,146
340,146
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
340,144
329,210
312,446
312,298
313,195
314,181
314,181
315,94
320,397
322,364
316,117
316,426
317,224
314,252
279,257
279,257
279,257
279,257
279,257
279,257
279,257
279,257
288,255
308,266
819,679
824,751
